home_team,away_team,season_start,home_last10_points,away_last10_points,home_last10_gd,away_last10_gd,h2h_last5_home_points,h2h_last5_away_points
12.0,1.0,-1.7329366804956492,-1.5847450321832646,-0.5765742893733188,-0.5743622796501371,-0.04297233860269419,-1.3366415124975977,-0.6330263917528757
12.0,3.0,-1.7329366804956492,-1.4180237555737334,-0.23355027179027077,-0.5743622796501371,-0.04297233860269419,-0.5368970317235366,-1.427436694730433
12.0,4.0,-1.7329366804956492,-1.2513024789642022,0.10947374579277727,-0.5743622796501371,0.1923092927543127,-1.3366415124975977,-0.6330263917528757
12.0,5.0,-1.7329366804956492,-0.7511386491356085,-0.23355027179027077,-0.23947602040926766,-0.513535601316708,-1.070060018906244,-1.1626332604045806
12.0,6.0,-1.7329366804956492,-0.25097481930701476,1.1385457985419214,0.09541023883160174,1.368717449539347,-1.3366415124975977,-0.6330263917528757
12.0,10.0,-1.7329366804956492,-0.5844173725260772,1.9961058424995415,-0.1278472673289779,1.8392807122533608,-1.070060018906244,-1.1626332604045806
13.0,0.0,-1.7329366804956492,-1.2513024789642022,1.8245938337080174,-0.23947602040926766,1.4863582652178504,-1.3366415124975977,-0.6330263917528757
13.0,1.0,-1.7329366804956492,-1.0845812023546708,-0.4050622805817948,-0.23947602040926766,0.07466847707580924,-1.070060018906244,-1.1626332604045806
13.0,3.0,-1.7329366804956492,-0.9178599257451396,-0.5765742893733188,-0.23947602040926766,-0.27825396995970103,-0.5368970317235366,-1.427436694730433
13.0,4.0,-1.7329366804956492,-0.7511386491356085,0.10947374579277727,-0.1278472673289779,0.1923092927543127,-1.070060018906244,-1.1626332604045806
13.0,5.0,-1.7329366804956492,-0.417696095916546,-0.4050622805817948,-0.016218514248688073,-0.7488172326737148,-1.070060018906244,-1.1626332604045806
13.0,6.0,-1.7329366804956492,-0.417696095916546,1.1385457985419214,0.09541023883160174,1.368717449539347,-1.070060018906244,-1.1626332604045806
13.0,10.0,-1.7329366804956492,-0.08425354269748353,1.4815698161249693,0.4302964980724712,1.4863582652178504,-1.3366415124975977,-0.6330263917528757
13.0,12.0,-1.7329366804956492,-0.08425354269748353,0.4524977633758253,0.4302964980724712,0.1923092927543127,-1.3366415124975977,-0.6330263917528757
18.0,0.0,-1.7329366804956492,-0.5844173725260772,1.4815698161249693,-0.23947602040926766,1.368717449539347,-1.070060018906244,-1.1626332604045806
18.0,1.0,-1.7329366804956492,-0.417696095916546,-0.7480862981648428,-0.23947602040926766,-0.04297233860269419,-1.3366415124975977,-0.6330263917528757
18.0,3.0,-1.7329366804956492,-0.08425354269748353,-0.5765742893733188,0.09541023883160174,-0.27825396995970103,-1.070060018906244,-1.1626332604045806
18.0,4.0,-1.7329366804956492,0.41591028713111017,-0.06203826299874674,0.7651827573133406,0.07466847707580924,-1.3366415124975977,-0.6330263917528757
18.0,5.0,-1.7329366804956492,0.7493528403501726,-0.5765742893733188,0.8768115103936305,-1.1017396797092252,-1.3366415124975977,-0.6330263917528757
